StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
812914,1,20000441,1,2021,Bradley Beal,WAS,SG,32,20000001,2021-03-06T03:15:16,32,2313.4,1764,45,567.8,1178.9,74.4,81.8,453.6,837.8,83.5,114.2,341.0,51.7,374.9,415.1,139.3,66.3,202.1,268.5,9.2,19.0,12.4,233.0,67.9,21.6,162.0,126.5,1624.8,1361.5,92.1,47.9,37.9,4.2,2.5,16.4,55.4,2402.9,2471.9,2402.9,-152.8,7.1,0.0,2471.9,False,,Scrambled
814716,22,20000442,1,2021,John Wall,HOU,PG,25,20000022,2021-03-06T03:15:17,25,1306.5,1222,63,290.1,683.5,65.4,74.5,211.4,452.1,72.2,78.7,231.4,52.5,152.8,205.2,114.8,17.0,108.0,125.0,3.4,15.0,12.9,233.0,33.9,27.8,128.1,44.7,811.6,773.8,80.9,31.8,52.3,3.1,4.7,21.9,48.8,1368.2,1423.0,1368.2,-189.8,7.1,0.0,1423.0,False,,Scrambled
812843,11,20000443,1,2021,Otto Porter,CHI,SF,6,20000011,2021-03-06T03:15:16,16,560.1,572,46,98.8,222.2,68.5,83.6,55.5,114.2,75.0,43.2,108.0,61.7,46.3,55.5,128.5,30.9,123.4,154.3,14.6,36.2,23.1,49.4,13.9,7.1,23.1,38.6,287.0,246.6,89.6,31.3,18.5,2.7,1.6,13.2,31.2,578.6,605.6,578.6,-64.8,4.8,0.0,605.6,False,,Scrambled
813146,11,20000452,1,2021,Garrett Temple,CHI,SG,12,20000011,2021-03-06T03:15:17,33,903.3,1444,19,165.1,385.8,66.0,80.2,95.7,183.6,80.4,69.4,202.1,53.1,47.8,58.6,125.9,30.9,134.2,165.1,5.8,15.6,15.1,104.9,47.8,27.8,50.9,118.8,447.5,411.5,83.9,18.0,14.4,3.7,3.9,17.0,21.2,978.9,971.7,978.9,183.6,0.0,0.0,971.7,False,,Scrambled
813112,5,20000453,1,2021,Terrence Ross,ORL,SG,2,20000005,2021-03-06T03:15:17,35,1331.5,1591,69,300.9,734.5,63.3,75.1,188.2,407.4,71.3,112.6,327.1,53.1,125.0,138.9,138.9,18.5,169.7,188.2,2.8,17.8,14.7,121.9,60.2,26.2,89.5,98.8,839.4,795.6,81.5,24.7,19.1,4.4,3.6,15.6,37.2,1417.9,1441.9,1417.9,-262.3,0.0,0.0,1441.9,False,,Scrambled
812901,21,20000455,1,2021,Jonas Valanciunas,MEM,C,26,20000021,2021-03-06T03:15:16,27,1338.9,1131,23,263.9,489.1,83.2,85.6,248.4,445.9,85.9,15.4,43.2,55.1,104.9,138.9,116.7,143.5,328.7,472.2,20.6,50.1,34.9,72.5,24.7,26.2,86.4,128.1,648.1,550.2,90.9,37.3,15.2,2.5,5.2,20.9,36.8,1389.8,1459.7,1389.8,14.3,30.9,0.0,1459.7,False,,Scrambled
813069,24,20000456,1,2021,DeMar DeRozan,SA,SG,29,20000024,2021-03-06T03:15:16,29,1666.3,1514,31,299.3,618.7,74.7,77.8,274.7,538.5,78.7,24.7,80.2,47.5,270.0,302.4,137.8,33.9,185.2,219.1,5.5,19.9,11.6,322.5,38.6,12.3,75.6,84.9,893.4,751.8,91.7,39.5,49.5,2.9,1.7,14.1,36.6,1717.2,1741.3,1717.2,-49.4,14.3,0.0,1741.3,False,,Scrambled
812872,10,20000457,1,2021,Kyle Lowry,TOR,PG,29,20000010,2021-03-06T03:15:16,29,1570.8,1546,12,268.5,587.9,70.5,87.5,140.4,270.0,80.2,128.1,317.9,62.2,140.4,163.6,132.4,37.0,209.8,246.9,6.2,24.0,13.7,314.8,52.5,14.3,126.5,145.0,805.4,659.8,94.3,32.5,48.0,3.9,1.5,24.8,34.1,1632.5,1731.2,1632.5,78.7,10.8,4.8,1731.2,False,,Scrambled
812041,28,20000459,1,2021,Lou Williams,LAC,SG,3,20000028,2021-03-06T03:15:15,35,1140.6,1224,69,243.8,577.1,65.1,73.4,183.6,425.9,66.5,60.2,151.2,61.4,128.1,148.1,133.5,21.6,103.4,125.0,4.8,14.2,13.6,200.6,46.3,7.1,88.0,52.5,675.8,642.3,81.2,28.9,37.6,4.5,0.8,18.6,41.0,1191.5,1225.5,1191.5,131.2,4.8,0.0,1225.5,False,,Scrambled
812064,28,20000460,1,2021,Patrick Patterson,LAC,PF,1,20000028,2021-03-06T03:15:15,10,119.6,199,57,24.7,58.6,65.0,85.3,14.3,15.4,92.6,15.4,43.2,55.1,7.1,9.5,115.7,9.5,24.7,30.9,8.5,20.8,13.3,11.9,7.1,2.4,10.8,20.1,69.4,61.3,86.7,15.7,12.3,2.7,1.6,23.1,24.8,125.8,134.2,125.8,-9.3,0.0,0.0,134.2,False,,Scrambled
